obstime,stnpres,seapres,stnpresmax,stnpresmaxtime,stnpresmin,stnpresmintime,temperature,tmax,tmaxtime,tmin,tmintime,tddewpoint,ws,wd,wsgust,wdgust,wgusttime,precp,precphour,precpday,precpmax10,precpmax10time,precphrmax,precphrmaxtime,precp1daymax,precp1daymaxtime,rh,evapa,sunshine,globlrad,uvimaxmean,uvimax,uvimaxtime,cloudamount,year
1,1018.6,1019,1027.3,2010-01-14 08:35,1012.3,2010-01-04 14:51,19.9,28.6,2010-01-31 13:13,10.9,2010-01-13 03:22,14.5,1.9,350,11.6,330,2010-01-25 14:49,1.5,3.4000001,2,.5,2010-01-08 11:05,.5,2010-01-08 10:40,1,2010-01-03 00:00,72,83.699997,199.8,373.23999,5,7,2010-01-31 13:00,3.5,2010
2,1015.5,1015.9,1021.5,2010-02-18 11:24,1009.8,2010-02-26 14:59,21.5,30.5,2010-02-11 14:21,12,2010-02-19 05:18,16.700001,1.9,350,11.2,300,2010-02-07 14:23,10.5,11,3,2,2010-02-16 00:05,2.5,2010-02-19 12:40,4,2010-02-19 00:00,74,81.599998,184.3,350.56,5,8,2010-02-11 13:00,4.5,2010
3,1015.6,1016,1025,2010-03-10 09:17,1007.6,2010-03-23 15:41,23.700001,31.9,2010-03-14 13:11,12.7,2010-03-10 07:54,17.700001,1.8,310,12.9,340,2010-03-25 11:24,1,1.4,1,1,2010-03-09 13:26,1,2010-03-09 13:26,1,2010-03-09 00:00,69,119.7,226.60001,485.85999,6,9,2010-03-14 13:00,4.0999999,2010
4,1013.7,1014.1,1020,2010-04-17 10:27,1007.5,2010-04-11 15:49,24.9,32.900002,2010-04-21 13:35,17.4,2010-04-16 04:08,19.799999,2.0999999,310,11.8,130,2010-04-11 11:05,48,25.1,7,3.5,2010-04-23 09:06,8,2010-04-23 08:24,19.5,2010-04-23 00:00,74,114.4,187.60001,459.54001,6,10,2010-04-20 12:00,5.5,2010
5,1008.8,1009.2,1016.5,2010-05-01 09:33,1002.2,2010-05-23 13:28,27.799999,33.299999,2010-05-27 12:10,21.200001,2010-05-01 03:47,22.799999,2.0999999,310,18,270,2010-05-23 13:49,188,38.299999,7,14.5,2010-05-23 13:22,41,2010-05-23 13:22,88.5,2010-05-30 00:00,75,142.39999,238.60001,592.29999,8,11,2010-05-27 12:00,5.1999998,2010
6,1008.4,1008.8,1011.2,2010-06-22 22:02,1003,2010-06-25 04:34,28.299999,33.200001,2010-06-30 12:58,23.799999,2010-06-04 01:48,24.200001,1.8,170,14.4,340,2010-06-15 14:16,257,44.099998,11,11.5,2010-06-13 18:26,21,2010-06-11 09:21,62,2010-06-13 00:00,79,120.8,186.10001,518.64001,8,11,2010-06-27 13:00,6.3000002,2010
7,1009,1009.3,1012.6,2010-07-17 21:58,1005.5,2010-07-25 16:16,29.5,35.900002,2010-07-15 14:36,24.200001,2010-07-27 07:20,24.6,2,310,14.7,230,2010-07-27 07:11,437,64.800003,10,20,2010-07-28 08:02,52,2010-07-27 01:47,129,2010-07-27 00:00,76,152.3,230.5,568.98999,9,11,2010-07-13 13:00,5.5999999,2010
8,1007.9,1008.2,1014.2,2010-08-19 08:50,999.70001,2010-08-31 22:46,29.4,34.400002,2010-08-01 12:23,25.299999,2010-08-26 04:29,25,1.8,290,13.7,160,2010-08-31 23:53,164.7,36,17,9.5,2010-08-10 12:04,26,2010-08-10 11:26,67,2010-08-10 00:00,78,140.3,216.39999,546.12,9,12,2010-08-11 12:00,5.4000001,2010
9,1008.6,1009,1014.6,2010-09-26 09:52,989,2010-09-19 14:47,28.299999,34.799999,2010-09-03 13:49,23,2010-09-20 06:13,24.5,2.8,160,29.5,210,2010-09-19 16:29,853,102.3,12,14.5,2010-09-19 15:44,53.5,2010-09-19 18:50,426.5,2010-09-19 00:00,80,104.8,169.8,422.14999,7,10,2010-09-11 13:00,5.6999998,2010
10,1010.3,1010.7,1019,2010-10-31 08:33,997.90002,2010-10-22 05:18,27,32.5,2010-10-12 11:47,19,2010-10-31 05:35,22.4,1.9,350,20.299999,150,2010-10-22 15:08,175.5,38.599998,9,15,2010-10-07 18:32,42,2010-10-08 15:01,71.5,2010-10-08 00:00,76,102.6,177.39999,402.85001,6,8,2010-10-09 13:00,5.1999998,2010
11,1014.8,1015.2,1019.5,2010-11-10 09:00,1007.3,2010-11-22 14:08,23.700001,29.5,2010-11-22 12:31,18.799999,2010-11-26 04:57,18.799999,1.9,350,9.1000004,30,2010-11-25 05:08,13,16.5,2,1,2010-11-13 15:55,3,2010-11-13 16:40,12.5,2010-11-13 00:00,74,84.300003,172.8,349.66,4,6,2010-11-06 12:00,4.9000001,2010
12,1014.3,1014.7,1019.5,2010-12-18 08:43,1009,2010-12-13 14:50,20.9,29.5,2010-12-06 13:27,11.3,2010-12-27 05:48,14.3,2,350,16.6,350,2010-12-26 06:12,11.5,8.6999998,1,1.5,2010-12-16 12:45,3,2010-12-16 12:28,11.5,2010-12-16 00:00,67,96.699997,188.5,342.98001,4,5,2010-12-06 13:00,4.0999999,2010
1,1018.4,1018.8,1024.9,2011-01-30 09:25,1011.7,2011-01-14 15:24,17.5,25,2011-01-19 14:11,11.3,2011-01-16 03:40,12.3,2.4000001,350,13.9,340,2011-01-15 07:51,7.6999998,19.799999,5,.5,2011-01-21 10:33,1.5,2011-01-11 21:10,4.5,2011-01-11 00:00,72,70.900002,130.2,320.41,4,6,2011-01-28 12:00,6.3000002,2011
2,1015.3,1015.7,1022.3,2011-02-01 08:04,1005.6,2011-02-08 15:29,20.1,29.5,2011-02-28 13:54,11.8,2011-02-15 01:23,14.8,2.0999999,350,10.6,350,2011-02-13 21:55,3.5,4.4000001,2,.5,2011-02-14 02:02,1.5,2011-02-14 09:37,2.5,2011-02-14 00:00,72,85.599998,212.8,421.79001,6,7,2011-02-27 13:00,2.9000001,2011
3,1017.1,1017.5,1022.8,2011-03-17 09:54,1009.9,2011-03-20 14:54,21.4,30.200001,2011-03-20 13:16,13.8,2011-03-28 03:58,15.2,2,350,10.6,340,2011-03-07 08:00,8,8.3999996,4,.60000002,2011-03-28 00:15,1.8,2011-03-28 00:05,6,2011-03-28 00:00,68,111.6,140.2,426.13,6,10,2011-03-20 13:00,6.5,2011
4,1013.6,1014,1020.2,2011-04-10 09:00,1006.3,2011-04-18 02:29,24.6,31,2011-04-30 13:15,17.700001,2011-04-05 02:44,18.4,1.9,310,12.4,290,2011-04-08 13:35,29.5,6.3000002,3,7.5,2011-04-17 23:03,19.5,2011-04-17 22:22,23.5,2011-04-17 00:00,69,123.1,195.3,521.90002,7,10,2011-04-15 12:00,5.0999999,2011
5,1009,1009.4,1015.3,2011-05-15 10:20,997.29999,2011-05-28 03:24,27.200001,32.900002,2011-05-08 11:12,21.200001,2011-05-17 18:12,22.299999,1.9,320,13.9,320,2011-05-10 14:13,106,40.799999,7,5,2011-05-23 13:10,10.5,2011-05-17 10:42,56,2011-05-17 00:00,75,123.4,186.8,507.82001,8,11,2011-05-04 13:00,5.1999998,2011
6,1006.9,1007.3,1011.5,2011-06-05 11:20,993.59998,2011-06-24 17:16,29.299999,35.799999,2011-06-09 12:52,23.5,2011-06-28 08:05,24.5,2.5,150,14.9,150,2011-06-09 19:33,392,48.599998,9,20,2011-06-27 20:27,72,2011-06-27 20:01,181.5,2011-06-28 00:00,76,154.60001,240.89999,572.53998,8,11,2011-06-08 12:00,5.3000002,2011
7,1005.9,1006.3,1011.4,2011-07-01 08:00,998.90002,2011-07-18 16:40,28.700001,33.900002,2011-07-27 14:13,24.5,2011-07-16 20:38,24.700001,2,310,14.4,220,2011-07-20 04:49,543,85,14,19,2011-07-10 02:12,50.5,2011-07-10 02:01,106.5,2011-07-20 00:00,80,145.10001,211.89999,541.40002,9,11,2011-07-12 13:00,5.9000001,2011
8,1005.8,1006.2,1013.3,2011-08-15 09:35,987.70001,2011-08-29 02:51,29.5,34,2011-08-21 12:23,25,2011-08-30 23:05,24.799999,2.5999999,170,21.4,250,2011-08-29 15:44,367.5,73,10,16.5,2011-08-07 10:12,39.5,2011-08-29 11:53,172.5,2011-08-29 00:00,76,147.5,235.60001,549.44,8,11,2011-08-08 13:00,5.5999999,2011
9,1007.9,1008.3,1012.9,2011-09-09 22:13,1001.2,2011-09-01 03:32,28.700001,33.700001,2011-09-29 13:03,25.1,2011-09-13 06:04,23.9,1.6,310,9.1000004,300,2011-09-30 13:26,71.5,9.3000002,8,14.5,2011-09-30 18:26,39.5,2011-09-30 18:15,40.5,2011-09-30 00:00,75,133.60001,192,495.29001,7,10,2011-09-11 12:00,5.5,2011
10,1012.4,1012.8,1017.2,2011-10-27 08:46,1004.8,2011-10-02 04:46,27,32.299999,2011-10-10 10:40,22.799999,2011-10-28 06:04,22.4,1.4,310,7.8000002,310,2011-10-20 14:15,55,48.599998,7,2,2011-10-11 05:58,5,2011-10-10 22:28,19,2011-10-14 00:00,77,98.5,167.39999,398.78,5,8,2011-10-04 13:00,5.1999998,2011
11,1014,1014.3,1021.6,2011-11-21 08:31,1004.9,2011-11-10 03:15,25.200001,31.4,2011-11-19 13:20,19.799999,2011-11-28 06:29,21.1,1.5,310,10.7,160,2011-11-18 10:27,172.5,79.599998,10,9.5,2011-11-10 21:59,26.5,2011-11-10 06:01,118.5,2011-11-10 00:00,79,64.900002,130.2,293.17001,4,7,2011-11-19 12:00,6.3000002,2011
12,1017.8,1018.2,1024.6,2011-12-27 08:54,1010.5,2011-12-01 14:51,20.1,28.700001,2011-12-07 13:07,13.6,2011-12-24 06:33,15.5,1.8,350,11.9,20,2011-12-03 02:25,40.5,31.700001,6,3.5,2011-12-12 17:18,11,2011-12-12 17:03,24,2011-12-12 00:00,76,58.700001,93.400002,263.82999,4,5,2011-12-06 13:00,6.6999998,2011
1,1017.1,1017.5,1023.6,2012-01-05 09:21,1007.2,2012-01-15 15:52,19.299999,28.299999,2012-01-19 12:53,13.3,2012-01-05 01:15,14.6,2,350,13.3,350,2012-01-16 04:48,,1.8,0,,2012-01-05 17:35,,2012-01-05 17:35,-9.8000002,2012-01-05 00:00,75,71.199997,177.10001,350.03,5,7,2012-01-29 13:00,4.8000002,2012
2,1015.5,1015.9,1022.3,2012-02-03 08:45,1007.9,2012-02-23 15:11,20.1,29.700001,2012-02-15 12:49,12.7,2012-02-09 02:37,15.5,2,350,15.3,340,2012-02-28 11:36,,40.5,7,,2012-02-05 20:02,,2012-02-21 11:26,17,2012-02-21 00:00,76,74.199997,165,363.42999,6,8,2012-02-23 13:00,5.6999998,2012
3,1014.6,1015,1022.3,2012-03-27 09:48,1007.3,2012-03-07 16:58,23.6,32.299999,2012-03-23 12:45,15.4,2012-03-11 22:56,18,2,350,11.8,350,2012-03-24 02:27,,8.3999996,2,,2012-03-12 08:49,,2012-03-12 08:55,6,2012-03-12 00:00,71,122,216.3,489.51001,7,10,2012-03-23 13:00,4.5,2012
4,1011.8,1012.2,1019.4,2012-04-01 09:21,1006.6,2012-04-25 15:36,26.6,33,2012-04-15 13:49,21.1,2012-04-02 04:10,22.200001,1.6,310,13.7,290,2012-04-28 14:14,,31.200001,10,,2012-04-26 09:42,,2012-04-26 09:20,28,2012-04-26 00:00,77,112.1,174.7,454.09,7,9,2012-04-12 12:00,6.1999998,2012
5,1008,1008.4,1012.5,2012-05-18 21:43,1004,2012-05-20 17:01,28,34,2012-05-31 12:51,23.299999,2012-05-05 04:56,23.799999,1.6,310,9.3000002,180,2012-05-17 10:13,,65.900002,15,,2012-05-20 11:44,,2012-05-19 21:16,75,2012-05-19 00:00,79,128.10001,231.8,539.90997,8,11,2012-05-27 12:00,5.0999999,2012
6,1004.1,1004.4,1010.7,2012-06-30 22:35,997.59998,2012-06-20 04:42,28.5,34.400002,2012-06-30 13:47,23.799999,2012-06-21 00:50,25.1,2.4000001,170,22.4,170,2012-06-20 07:50,,127.2,19,,2012-06-12 07:40,,2012-06-10 11:20,152.5,2012-06-12 00:00,83,119.2,164.5,432.89999,8,11,2012-06-16 12:00,6.9000001,2012
7,1005.6,1005.9,1011.4,2012-07-01 21:45,989.5,2012-07-31 17:40,29.5,36.400002,2012-07-23 11:41,25.200001,2012-07-23 04:39,25,1.8,300,16.700001,170,2012-07-21 15:08,,33.700001,14,,2012-07-15 06:40,,2012-07-25 17:38,12.5,2012-07-15 00:00,77,138.39999,230.3,561.47998,9,11,2012-07-05 12:00,5.3000002,2012
8,1002.9,1003.3,1011.4,2012-08-17 21:02,986,2012-08-01 15:40,28.1,34.099998,2012-08-23 13:50,22.9,2012-08-10 05:11,24.9,2.0999999,310,24.5,310,2012-08-02 04:26,,110.6,22,,2012-08-09 21:18,,2012-08-07 10:43,155,2012-08-09 00:00,83,90.800003,135.7,408.56,7,10,2012-08-22 13:00,6.6999998,2012
9,1009,1009.4,1014.5,2012-09-06 23:02,1000.2,2012-09-28 14:21,28.700001,33.599998,2012-09-14 14:41,24,2012-09-02 03:25,23.200001,1.7,310,12,330,2012-09-28 18:04,,5.6999998,3,,2012-09-14 16:33,,2012-09-14 16:05,33,2012-09-14 00:00,73,143.7,218.8,513.96002,8,9,2012-09-02 12:00,4.5999999,2012
10,1012.8,1013.2,1019,2012-10-21 08:55,1007.1,2012-10-03 14:44,26.6,31.1,2012-10-17 13:16,21.700001,2012-10-31 23:46,20.5,1.6,270,8.8000002,320,2012-10-22 14:54,,7.1999998,1,,2012-10-31 23:26,,2012-10-31 22:36,.69999999,2012-10-31 00:00,69,130.5,211.89999,465.64999,6,7,2012-10-13 12:00,4.5,2012
11,1014.7,1015.1,1019.2,2012-11-16 09:00,1010.2,2012-11-22 14:59,24.9,32.099998,2012-11-11 12:08,20,2012-11-27 06:19,20,1.4,310,10.2,350,2012-11-23 15:19,,22.1,5,,2012-11-17 05:13,,2012-11-17 05:10,39.5,2012-11-17 00:00,75,81.599998,168.60001,329.76999,4,6,2012-11-22 12:00,5.0999999,2012
12,1016.5,1016.9,1023,2012-12-24 09:39,1010.4,2012-12-02 14:47,21.1,29.6,2012-12-16 13:07,11,2012-12-31 03:42,16.200001,2,350,17.700001,10,2012-12-30 08:07,,19.9,4,,2012-12-30 04:26,,2012-12-30 04:03,9,2012-12-05 00:00,74,72.699997,160.7,302.81,4,6,2012-12-02 13:00,5.3000002,2012
1,1018.2,1018.6,1026.7,2013-01-18 09:00,1007.3,2013-01-13 14:47,19.700001,27.9,2013-01-21 13:30,12.1,2013-01-18 06:49,14.2,2.2,350,17.299999,340,2013-01-13 18:59,,.60000002,0,,2013-01-02 22:25,,2013-01-02 22:25,-9.8000002,2013-01-02 00:00,71,82.599998,173,342.94,5,5,2013-01-05 12:00,4.5,2013
2,1017,1017.4,1022.7,2013-02-23 09:43,1010.8,2013-02-18 15:20,22.299999,30.1,2013-02-27 12:25,15.7,2013-02-09 06:45,17.200001,2.0999999,360,10.9,330,2013-02-27 15:04,,.1,0,,2013-02-02 01:35,,2013-02-02 01:35,-9.8000002,2013-02-02 00:00,73,105,207.10001,411.01001,7,9,2013-02-18 13:00,3.8,2013
3,1014.9,1015.3,1023.4,2013-03-05 09:43,1007.9,2013-03-24 05:03,23.9,31.1,2013-03-23 13:59,16.1,2013-03-03 02:50,18.1,2,310,17.4,330,2013-03-27 01:33,,8.8000002,5,,2013-03-27 01:44,,2013-03-31 06:31,13,2013-03-31 00:00,71,124,220.89999,489.76999,7,9,2013-03-24 12:00,4.3000002,2013
4,1011.8,1012.2,1018.3,2013-04-12 09:36,1002.3,2013-04-06 03:13,25.1,31,2013-04-25 16:28,17.200001,2013-04-07 05:10,20.5,1.7,310,14.7,280,2013-04-06 00:48,,35.700001,8,,2013-04-06 01:01,,2013-04-06 00:32,51.5,2013-04-06 00:00,76,104.9,130.3,386.89999,6,12,2013-04-20 12:00,6.9000001,2013
5,1009.5,1009.9,1015.7,2013-05-05 09:50,1004.8,2013-05-20 16:40,27.6,32.799999,2013-05-30 13:43,21.6,2013-05-02 18:26,24.1,1.6,310,13.9,290,2013-05-01 04:35,,61.400002,14,,2013-05-18 09:42,,2013-05-18 09:21,183.5,2013-05-18 00:00,82,116.2,173.60001,464.85001,9,12,2013-05-09 13:00,6.5999999,2013
6,1006.9,1007.2,1012,2013-06-05 07:46,1000.1,2013-06-19 16:00,29.799999,34.5,2013-06-30 12:21,25.5,2013-06-23 22:07,25.200001,1.9,310,16.799999,160,2013-06-21 15:14,,27.799999,9,,2013-06-23 21:21,,2013-06-23 21:15,31,2013-06-23 00:00,77,151,238.60001,564.78003,9,11,2013-06-01 12:00,5.0999999,2013
7,1008.4,1008.8,1013.1,2013-07-08 08:05,995.09998,2013-07-13 01:13,29.700001,35.700001,2013-07-01 12:03,24.6,2013-07-14 08:59,24.799999,2.3,180,18.4,330,2013-07-12 16:18,,31,12,,2013-07-09 16:07,,2013-07-14 07:53,84.5,2013-07-14 00:00,75,169.60001,248.10001,576.32001,9,11,2013-07-01 13:00,5.4000001,2013
8,1006.1,1006.5,1014.4,2013-08-03 21:40,988.90002,2013-08-21 14:43,29,34.299999,2013-08-13 13:17,23.200001,2013-08-29 19:42,25.299999,2.4000001,320,19.5,320,2013-08-31 04:01,,132.60001,17,,2013-08-31 08:20,,2013-08-29 03:07,293,2013-08-29 00:00,81,117.6,185,435.92001,7,11,2013-08-16 12:00,6.1999998,2013
9,1007.5,1007.9,1013.7,2013-09-07 21:57,983.70001,2013-09-21 16:16,28.6,32.599998,2013-09-16 14:02,22.799999,2013-09-02 06:03,24,2,290,20.299999,160,2013-09-22 03:41,,31.200001,7,,2013-09-12 16:34,,2013-09-22 03:09,35,2013-09-22 00:00,77,127,219.89999,535.71997,7,10,2013-09-13 13:00,4.6999998,2013
10,1011.3,1011.7,1019.5,2013-10-28 08:24,998.70001,2013-10-06 15:12,26.6,31.5,2013-10-01 12:18,20.6,2013-10-27 03:36,20.5,2,270,21.6,340,2013-10-06 16:10,,3.0999999,2,,2013-10-10 17:22,,2013-10-10 17:15,22.5,2013-10-10 00:00,69,135.10001,243.3,517.71997,6,7,2013-10-01 12:00,3.5,2013
11,1015.7,1016.1,1023.1,2013-11-29 08:25,1009.9,2013-11-01 15:02,24.299999,30.200001,2013-11-03 10:08,14.7,2013-11-30 04:38,18.5,1.9,350,13.1,340,2013-11-25 01:37,,4.5,2,,2013-11-25 01:09,,2013-11-25 01:06,14,2013-11-25 00:00,71,90.400002,128.3,350.10001,4,5,2013-11-08 12:00,5.5,2013
12,1016.5,1016.9,1022.8,2013-12-22 09:06,1007.9,2013-12-17 14:01,19.9,28.9,2013-12-09 11:55,12,2013-12-28 05:44,13.5,2.3,350,17.799999,10,2013-12-17 21:32,,18.1,5,,2013-12-16 21:45,,2013-12-16 21:25,20.5,2013-12-16 00:00,67,82.5,139.10001,331.79001,4,5,2013-12-02 12:00,5.5999999,2013
1,1019,1019.4,1025.5,2014-01-18 21:55,1010.9,2014-01-03 15:14,19.5,28.299999,2014-01-03 13:24,11.1,2014-01-22 05:19,12.3,2.0999999,350,10.5,340,2014-01-08 16:24,0,0,0,0,2014-01-31 00:00,0,2014-01-31 00:00,0,2014-01-31 00:00,64,98.400002,254.8,449.63,4,5,2014-01-25 13:00,1.9,2014
2,1015.8,1016.2,1025.7,2014-02-21 08:56,1007,2014-02-07 16:57,20.299999,28.5,2014-02-06 13:03,11.3,2014-02-11 06:01,14.5,2.2,310,13.6,340,2014-02-19 13:14,16,11,5,3.5,2014-02-10 06:08,4.5,2014-02-10 06:08,12.5,2014-02-10 00:00,70,87.599998,184.60001,376.82999,5,7,2014-02-18 13:00,4.1999998,2014
3,1016.2,1016.6,1022.8,2014-03-16 09:10,1006.5,2014-03-31 16:28,22.6,30.6,2014-03-27 11:52,16.799999,2014-03-09 06:27,17.299999,2,310,25.200001,310,2014-03-31 03:10,67,8.6000004,2,21.5,2014-03-31 16:37,30,2014-03-31 16:35,66.5,2014-03-31 00:00,72,117.5,190.39999,463.19,5,8,2014-03-26 12:00,5.5999999,2014
4,1012.5,1012.9,1018.4,2014-04-06 08:25,1007.4,2014-04-01 17:35,25.9,31.700001,2014-04-25 12:36,20.200001,2014-04-05 05:17,20.700001,2.0999999,310,14.5,340,2014-04-02 13:12,27,11.2,4,3,2014-04-15 22:31,10.5,2014-04-15 22:04,12,2014-04-15 00:00,74,128.5,197.8,521.51001,6,9,2014-04-27 12:00,5.3000002,2014
5,1010.2,1010.5,1016.3,2014-05-06 10:05,1005.3,2014-05-27 17:30,27.799999,32.900002,2014-05-24 11:03,21.9,2014-05-06 20:48,23.700001,1.7,310,14.1,290,2014-05-20 17:22,198.5,36.400002,13,16.5,2014-05-19 13:41,30.5,2014-05-19 12:52,45,2014-05-20 00:00,78,128.2,192.60001,543.69,7,10,2014-05-14 12:00,6,2014
