date,kaohsiung,pintung
2010/1/1,61.33,70.90428571
2010/2/1,42.5,51.85625
2010/3/1,47.33,43.3
2010/4/1,56.67,43.22166667
2010/5/1,61.67,43.5
2010/6/1,55,32.125
2010/11/1,NA,74.832
2010/12/1,71.67,69.61857143
2011/1/1,71.67,62.28571429
2011/2/1,52.5,55.9375
2011/3/1,61.67,61.71
2011/4/1,61.67,62.40666667
2011/5/1,48.33,44.8
2011/6/1,45,37.4975
2011/11/1,NA,63.7
2011/12/1,53.9,53.93714286
2012/1/1,66.5,53.78571429
2012/2/1,62.33,47.95875
2012/3/1,61,47.91625
2012/4/1,63.33,51.27833333
2012/5/1,61.67,53.9175
2012/6/1,61.67,36.165
2012/11/1,NA,75.2075
2012/12/1,75,67.95142857
2013/1/1,63.33,61.19
2013/2/1,70,56.54375
2013/3/1,63.33,48.7375
2013/4/1,61.67,48.23
2013/5/1,63.33,50.415
2013/6/1,61.67,41.665
2013/11/1,NA,71.2
2013/12/1,80,68.88
2014/1/1,71.67,68.73857143
2014/2/1,75,58.53125
2014/3/1,65,62.9875
2014/4/1,65,50.25
2014/5/1,63.33,48.4
2014/6/1,66.67,45
2014/11/1,NA,90.875
2014/12/1,70,69.95142857
2015/1/1,54.33,56.38285714
2015/2/1,50,53.1875
2015/3/1,46.67,50.74875
2015/4/1,43.33,44.195
2015/5/1,45,44.968
2015/6/1,38.33,36.25
2015/11/1,NA,71.375
2015/12/1,61.67,69.13285714
2016/1/1,55,57.00142857
2016/2/1,61.67,57.88625
2016/3/1,60.83,62.98625
2016/4/1,55.33,53.954
2016/5/1,61.67,47.332
2016/6/1,60,51
2016/11/1,NA,79.9175
2016/12/1,66.22,64.20142857
2017/1/1,75.5,80.92857143
2017/2/1,108.1,105.93125
2017/3/1,70,69.3125
2017/4/1,50,48.555
2017/5/1,46.67,43.614
2017/6/1,45,31.05
2017/11/1,NA,65.2925
2017/12/1,113.94,66.08428571
2018/1/1,66.65,51.90142857
2018/2/1,60,62.53125
2018/3/1,64,56.85875
2018/4/1,60,54.86
2018/5/1,60,52.734
2018/6/1,47.67,34.25
2018/11/1,NA,80
2018/12/1,79.7,65.88142857